Parsed: dat: exchange_rate
Parsed: 2013-11-0: 291.02
Parsed: 2013-11-1: 328
Parsed: 2013-11-1: 393
Parsed: 2013-11-1: 437.24
Parsed: 2013-11-1: 547
Parsed: 2013-11-2: 795
Parsed: 2013-11-2: 814.56
Parsed: 2013-11-2: 1014.1
Parsed: 2013-12-0: 955.01
Parsed: 2013-12-0: 1136.9
Parsed: 2013-12-0: 705.91
Parsed: 2013-12-1: 978.76
Parsed: 2013-12-1: 885
Parsed: 2013-12-1: 690
Parsed: 2013-12-1: 685.3
Parsed: 2013-12-2: 614.11
Parsed: 2013-12-2: 679.02
Parsed: 2013-12-2: 715
Parsed: 2013-12-3: 732
Parsed: 2014-01-0: 807.39
Parsed: 2014-01-0: 915.69
Parsed: 2014-01-0: 826.28
Parsed: 2014-01-1: 844.04
Parsed: 2014-01-1: 841.83
Parsed: 2014-01-1: 811.2
Parsed: 2014-01-2: 824.78
Parsed: 2014-01-2: 780.02
Parsed: 2014-01-2: 747.57
Parsed: 2014-01-3: 800
Parsed: 2014-02-0: 814.34
Parsed: 2014-02-0: 781
Parsed: 2014-02-0: 680.8
Parsed: 2014-02-1: 675.1
Parsed: 2014-02-1: 670.29
Parsed: 2014-02-1: 629.96
Parsed: 2014-02-2: 563
Parsed: 2014-02-2: 611.05
Parsed: 2014-02-2: 585.21
Parsed: 2014-03-0: 567.48
Parsed: 2014-03-0: 673.28
Parsed: 2014-03-0: 631.99
Parsed: 2014-03-1: 629.33
Parsed: 2014-03-1: 641.01
Parsed: 2014-03-1: 634.99
Parsed: 2014-03-1: 611.2
Parsed: 2014-03-2: 563.01
Parsed: 2014-03-2: 585.79
Parsed: 2014-03-2: 499.6
Parsed: 2014-04-0: 457.49
Parsed: 2014-04-0: 448.72
Parsed: 2014-04-0: 458
Parsed: 2014-04-1: 441.93
Parsed: 2014-04-1: 423.37
Parsed: 2014-04-1: 523
Parsed: 2014-04-1: 482.11
Parsed: 2014-04-2: 498.38
Parsed: 2014-04-2: 502.15
Parsed: 2014-04-2: 438.8
Parsed: 2014-05-0: 452.03
Parsed: 2014-05-0: 440
Parsed: 2014-05-0: 428.01
Parsed: 2014-05-1: 449
Parsed: 2014-05-1: 442.45
Parsed: 2014-05-1: 446.53
Parsed: 2014-05-1: 446.89
Parsed: 2014-05-2: 493.97
Parsed: 2014-05-2: 527.91
Parsed: 2014-05-2: 572.7
Parsed: 2014-05-3: 621.3
Parsed: 2014-06-0: 662
Parsed: 2014-06-0: 661.48
Parsed: 2014-06-0: 657.11
Parsed: 2014-06-1: 624.97
Parsed: 2014-06-1: 572.28
Parsed: 2014-06-1: 608
Parsed: 2014-06-2: 593.48
Parsed: 2014-06-2: 588.25
Parsed: 2014-06-2: 577.34
Parsed: 2014-06-3: 599.99
Parsed: 2014-07-0: 650.49
Parsed: 2014-07-0: 631
Parsed: 2014-07-0: 624.97
Parsed: 2014-07-1: 634
Parsed: 2014-07-1: 621.21
Parsed: 2014-07-1: 625.8
Parsed: 2014-07-2: 627
Parsed: 2014-07-2: 620.43
Parsed: 2014-07-2: 595.9
Parsed: 2014-07-3: 585.5
Parsed: 2014-08-0: 595.76
Parsed: 2014-08-0: 588.5
Parsed: 2014-08-0: 585.02
Parsed: 2014-08-1: 590.74
